S|P|O
HRAS|subClassOf|protein_coding_gene
NRAS|subClassOf|protein_coding_gene
GRIN2C|subClassOf|protein_coding_gene
GRIN2C|participates_in|Ras activation upon Ca2+ influx through NMDA receptor
GRIN2C|participates_in|SOS-mediated signalling
RHEB|participates_in|PKB-mediated events
RHEB|participates_in|Signal Transduction
GDP|participates_in|Signal Transduction
Ras GTPase-activating protein 1 (human)|participates_in|Signal Transduction
GTP|interacts with|Ras GTPase-activating protein 1 (human)
PRKAA2|participates_in|PKB-mediated events
PRKAA2|participates_in|Activation of PPARGC1A (PGC-1alpha) by phosphorylation
PRKAB1|participates_in|Activation of PPARGC1A (PGC-1alpha) by phosphorylation
PRKAA2|participates_in|AMPK inhibits chREBP transcriptional activation activity
PRKAB2|participates_in|AMPK inhibits chREBP transcriptional activation activity
PRKAG1|participates_in|Activation of PPARGC1A (PGC-1alpha) by phosphorylation
PRKAG2|participates_in|AMPK inhibits chREBP transcriptional activation activity
PRKAB2|participates_in|Activation of PPARGC1A (PGC-1alpha) by phosphorylation
PRKAG2|participates_in|Activation of PPARGC1A (PGC-1alpha) by phosphorylation
NF1|participates_in|RAS signaling downstream of NF1 loss-of-function variants
KRAS|participates_in|RAS signaling downstream of NF1 loss-of-function variants
PRKAB2|participates_in|PKB-mediated events
PRKAG3|participates_in|Activation of PPARGC1A (PGC-1alpha) by phosphorylation
PRKAG1|participates_in|PKB-mediated events
PRKAG2|participates_in|PKB-mediated events
PRKAG3|participates_in|PKB-mediated events
NRAS|participates_in|RAS signaling downstream of NF1 loss-of-function variants
TSC1|participates_in|Cellular responses to stress
GTP|participates_in|Trafficking of myristoylated proteins to the cilium
GDP|participates_in|Trafficking of myristoylated proteins to the cilium
PTEN|participates_in|PI3K/AKT activation
AKT2|participates_in|PI3K/AKT activation
PTEN|causes or contributes to condition|secretory meningioma
AKT1|causes or contributes to condition|secretory meningioma
AKT3|participates_in|PI3K/AKT activation
AKT2|subClassOf|protein_coding_gene
HOMER1|causes or contributes to condition|Depression
AKT1|causes or contributes to condition|Depression
AKT3|subClassOf|protein_coding_gene
HRAS|participates_in|RAS signaling downstream of NF1 loss-of-function variants
PRKAB1|participates_in|PKB-mediated events
SHANK3|participates_in|Developmental Biology
AKT2|participates_in|Developmental Biology
GRM1|causes or contributes to condition|Focal sensory seizure
AKT1|causes or contributes to condition|Focal sensory seizure
GRM1|participates_in|GPCR downstream signalling
AKT3|participates_in|GPCR downstream signalling
AKT2|participates_in|PKB-mediated events
AKT2|participates_in|Translocation of SLC2A4 (GLUT4) to the plasma membrane
GDP|participates_in|Translocation of SLC2A4 (GLUT4) to the plasma membrane
AKT3|participates_in|Signaling by NTRK1 (TRKA)
PRKAG1|participates_in|Translocation of SLC2A4 (GLUT4) to the plasma membrane
GSK3B|participates_in|Semaphorin interactions
GDP|participates_in|Semaphorin interactions
AKT1|participates_in|Translocation of SLC2A4 (GLUT4) to the plasma membrane
PRKAB1|participates_in|Translocation of SLC2A4 (GLUT4) to the plasma membrane
MAPK3|participates_in|IRS-mediated signalling
RHEB|participates_in|IRS-mediated signalling
MAPK3|participates_in|Thrombin signalling through proteinase activated receptors (PARs)
GDP|participates_in|Thrombin signalling through proteinase activated receptors (PARs)
PRKAG2|participates_in|Translocation of SLC2A4 (GLUT4) to the plasma membrane
AKT3|participates_in|Developmental Biology
AKT2|participates_in|GPCR downstream signalling
NRAS|participates_in|PTK6 Regulates RHO GTPases, RAS GTPase and MAP kinases
NTRK2|causes or contributes to condition|Lung adenocarcinoma
AKT1|causes or contributes to condition|Lung adenocarcinoma
TSC1|participates_in|TBC/RABGAPs
GDP|participates_in|TBC/RABGAPs
AKT1|participates_in|Developmental Biology
PRKAA2|participates_in|Translocation of SLC2A4 (GLUT4) to the plasma membrane
RHEB|participates_in|TP53 Regulates Metabolic Genes
AKT3|participates_in|VEGFA-VEGFR2 Pathway
GDP|participates_in|VEGFA-VEGFR2 Pathway
PRKAB2|participates_in|Translocation of SLC2A4 (GLUT4) to the plasma membrane
MAPK1|participates_in|Thrombin signalling through proteinase activated receptors (PARs)
AKT2|participates_in|Signaling by NTRK1 (TRKA)
PRKAG3|participates_in|Translocation of SLC2A4 (GLUT4) to the plasma membrane
GRIN1|participates_in|Ras activation upon Ca2+ influx through NMDA receptor
