Pathway_ID,Algorithm,Node,IDF
WP5283,CosineSimilarity,monoalkyl phosphate,16.9548485
WP5283,CosineSimilarity,NADP,12.8117137
WP5283,CosineSimilarity,intracellular part,2.55907
WP5283,CosineSimilarity,"nitric oxide synthase, endothelial (human)",nan
WP5283,CosineSimilarity,cellular tumor antigen p53 (human),nan
WP5283,CosineSimilarity,Cellular responses to stress,nan
WP5283,CosineSimilarity,PKC,6.1501026
WP5283,CosineSimilarity,PRKCQ,nan
WP5283,CosineSimilarity,PRKCZ,nan
WP5283,CosineSimilarity,PRKCD,nan
WP5283,CosineSimilarity,PRKCH,nan
WP5283,CosineSimilarity,PRKCI,nan
WP5283,CosineSimilarity,PRKCE,nan
WP5283,CosineSimilarity,PRKCG,nan
WP5283,CosineSimilarity,PRKD3,nan
WP5283,CosineSimilarity,PRKCA,nan
WP5283,CosineSimilarity,PRKCB,nan
WP5283,CosineSimilarity,proton-coupled folate transporter (human),nan
WP5283,CosineSimilarity,Metabolism of vitamins and cofactors,nan
WP5283,CosineSimilarity,sorbitol dehydrogenase (human),nan
WP5283,CosineSimilarity,NADH(2-),nan
WP5283,CosineSimilarity,NADH,nan
WP5283,CosineSimilarity,ROS,nan
WP5283,CosineSimilarity,Colon cancer,12.2363496
WP5283,CosineSimilarity,"solute carrier family 2, facilitated glucose transporter member 3 (human)",nan
WP5283,CosineSimilarity,Metabolism of carbohydrates,nan
WP5283,CosineSimilarity,Metabolism of proteins,nan
WP5283,CosineSimilarity,NAD,nan
WP5283,CosineSimilarity,protein DEK (human),nan
WP5283,CosineSimilarity,Stimuli-sensing channels,nan
WP5283,CosineSimilarity,Ca2+,nan
WP5283,CosineSimilarity,TRP channels,nan
WP5283,CosineSimilarity,protein_coding_gene,7.6837894
WP5283,CosineSimilarity,Degradation of the extracellular matrix,nan
WP5283,CosineSimilarity,Extracellular matrix organization,nan
WP5283,CosineSimilarity,Collagen degradation,nan
WP5283,CosineSimilarity,Activation of Matrix Metalloproteinases,nan
WP5283,CosineSimilarity,Spontaneous abortion,10.3058639
WP5283,CosineSimilarity,MMP15,nan
WP5283,CosineSimilarity,MMP16,nan
WP5283,CosineSimilarity,MMP23B,nan
WP5283,CosineSimilarity,MMP21,nan
WP5283,CosineSimilarity,Assembly of collagen fibrils and other multimeric structures,nan
WP5283,CosineSimilarity,Collagen formation,nan
WP5283,CosineSimilarity,gene,nan
WP5283,CosineSimilarity,diffuse astrocytoma,11.8368547
WP5283,CosineSimilarity,MMP2,nan
WP5283,CosineSimilarity,MMP11,nan
WP5283,CosineSimilarity,MMP9,nan
WP5283,CosineSimilarity,MMP17,nan
WP5283,CosineSimilarity,MMP20,nan
WP5283,CosineSimilarity,MMP27,nan
WP5283,CosineSimilarity,Interleukin-4 and Interleukin-13 signaling,nan
WP5283,CosineSimilarity,Aortic rupture,nan
WP5283,CosineSimilarity,Asthma,nan
WP5283,CosineSimilarity,Neutrophil degranulation,nan
WP5283,CosineSimilarity,metaphyseal anadysplasia,15.0089383
WP5283,CosineSimilarity,MMP19,nan
WP5283,CosineSimilarity,Gluten intolerance,nan
WP5283,CosineSimilarity,MMP14,nan
WP5283,CosineSimilarity,Hemostasis,nan
WP5283,CosineSimilarity,GPCR downstream signalling,nan
WP5283,CosineSimilarity,G alpha (q) signalling events,nan
WP5283,CosineSimilarity,Signal Transduction,nan
WP5283,CosineSimilarity,Visual phototransduction,nan
WP5283,CosineSimilarity,G alpha (z) signalling events,nan
WP5283,CosineSimilarity,protein kinase C theta type (human),nan
WP5283,CosineSimilarity,Signaling by VEGF,nan
WP5283,CosineSimilarity,Bipolar affective disorder,14.3157911
WP5283,CosineSimilarity,"Platelet activation, signaling and aggregation",nan
WP5283,CosineSimilarity,Allodynia,16.9548485
WP5283,CosineSimilarity,protein kinase C zeta type (human),nan
WP5283,CosineSimilarity,Effects of PIP2 hydrolysis,nan
WP5283,CosineSimilarity,Signaling by NTRKs,nan
WP5283,CosineSimilarity,Ca-dependent events,nan
WP5283,CosineSimilarity,DAG and IP3 signaling,nan
WP5283,CosineSimilarity,protein kinase C delta type (human),nan
WP5283,CosineSimilarity,Gastrin-CREB signalling pathway via PKC and MAPK,nan
WP5283,CosineSimilarity,Signaling by GPCR,nan
WP5283,CosineSimilarity,protein kinase C eta type (human),nan
WP5283,CosineSimilarity,protein kinase C iota type (human),nan
WP5283,CosineSimilarity,PLC-gamma1 signalling,nan
WP5283,CosineSimilarity,Signaling by EGFR,nan
WP5283,CosineSimilarity,protein kinase C epsilon type (human),nan
WP5283,CosineSimilarity,protein kinase C gamma type (human),nan
WP5283,CosineSimilarity,serine/threonine-protein kinase D3 (human),nan
WP5283,CosineSimilarity,The phototransduction cascade,nan
WP5283,CosineSimilarity,Trafficking of GluR2-containing AMPA receptors,nan
WP5283,CosineSimilarity,"Glutamate binding, activation of AMPA receptors and synaptic plasticity",nan
WP5283,CosineSimilarity,protein kinase C alpha type (human),nan
WP5283,CosineSimilarity,VEGFA-VEGFR2 Pathway,nan
WP5283,CosineSimilarity,Transmission across Chemical Synapses,nan
WP5283,CosineSimilarity,Neuronal System,nan
WP5283,CosineSimilarity,protein kinase C beta type (human),nan
WP5283,PDP,INOS,nan
WP5283,PDP,NO,11.2411157
WP5283,PDP,"asparagine--tRNA ligase, cytoplasmic (human)",nan
WP5283,PDP,e-,nan
WP5283,PDP,ROS,nan
WP5283,PDP,proton-coupled folate transporter (human),nan
WP5283,PDP,ATP,11.0997765
WP5283,PDP,Fructose,nan
WP5283,PDP,S-glycosyl compound,15.0089383
WP5283,PDP,AGE,nan
WP5283,PDP,anthocyanin cation,14.4699418
WP5283,PDP,AGER (human),nan
WP5283,PDP,N-glycosyl compound,10.2119678
WP5283,PDP,uracil octosyl acid 5'-phosphate,nan
WP5283,PDP,methyl dihydrogen phosphate,nan
WP5283,PDP,NADPH,12.8439746
WP5283,PDP,thioglucoside,16.9548485
WP5283,PDP,Glucose,9.7506992
WP5283,PDP,prostaglandin-H2 D-isomerase (human),nan
WP5283,PDP,protein kinase C theta type (human),nan
WP5283,PDP,protein kinase C zeta type (human),nan
WP5283,PDP,protein kinase C delta type (human),nan
WP5283,PDP,protein kinase C eta type (human),nan
WP5283,PDP,protein kinase C iota type (human),nan
WP5283,PDP,protein kinase C epsilon type (human),nan
WP5283,PDP,protein kinase C gamma type (human),nan
WP5283,PDP,serine/threonine-protein kinase D3 (human),nan
WP5283,PDP,protein kinase C alpha type (human),nan
WP5283,PDP,protein kinase C beta type (human),nan
WP5283,PDP,"Sorbitol 
dehydrogenase",nan
WP5283,PDP,NADH(2-),nan
WP5283,PDP,O2- radical,nan
WP5283,PDP,Glut-1,nan
WP5283,PDP,Glut-3,nan
WP5283,PDP,NMDA,16.2617013
WP5283,PDP,Ca2+,nan
WP5283,PDP,NAD(+),nan
WP5283,PDP,TRPV1,nan
WP5283,PDP,TRPA1,nan
WP5283,PDP,MMP7,nan
WP5283,PDP,MMP28,nan
WP5283,PDP,MMP15,nan
WP5283,PDP,MMP16,nan
WP5283,PDP,MMP3,nan
WP5283,PDP,MMP23B,nan
WP5283,PDP,MMP20,nan
WP5283,PDP,MMP1,nan
WP5283,PDP,MMP2,nan
WP5283,PDP,MMP10,nan
WP5283,PDP,MMP11,nan
WP5283,PDP,MMP8,nan
WP5283,PDP,MMP9,nan
WP5283,PDP,MMP13,nan
WP5283,PDP,MMP12,nan
WP5283,PDP,MMP24,nan
WP5283,PDP,MMP21,nan
WP5283,PDP,MMP14,nan
WP5283,PDP,MMP25,nan
WP5283,PDP,MMP19,nan
WP5283,PDP,MMP27,nan
WP5283,PDP,MMP17,nan
WP5283,PDP,valproic acid,13.4891126
WP5283,PDP,aflatoxin B1,nan
WP5283,PDP,benzo[a]pyrene,16.2617013
WP5283,PDP,PRKCQ,nan
WP5283,PDP,PRKCZ,nan
WP5283,PDP,PRKCD,nan
WP5283,PDP,PRKCH,nan
WP5283,PDP,PRKCI,nan
WP5283,PDP,PRKCE,nan
WP5283,PDP,PRKCG,nan
WP5283,PDP,PRKD3,nan
WP5283,PDP,PRKCA,nan
WP5283,PDP,PRKCB,nan
WP5283,PDP,aspiration pneumonia,nan
WP5283,PDP,cell migration,5.766947
WP5283,PDP,Sensing of DNA Double Strand Breaks,nan
WP5283,PDP,Iron uptake and transport,nan
WP5283,PDP,proton-coupled folate transporter (human),nan
WP5283,PDP,response to toxic substance,9.8319818
WP5283,PDP,carbohydrate derivative,9.2980384
WP5283,PDP,Postprandial hyperglycemia,15.5685541
WP5283,PDP,N-glycosyl compound,10.2119678
WP5283,PDP,monoalkyl phosphate,16.9548485
WP5283,PDP,NADP,12.8117137
WP5283,PDP,Glucose,9.7506992
WP5283,PDP,S-glycosyl compound,15.0089383
WP5283,PDP,mitochondrial uncoupling protein 3 (human),nan
WP5283,PDP,prostaglandin-H2 D-isomerase (human),nan
WP5283,PDP,Synthesis of Prostaglandins (PG) and Thromboxanes (TX),nan
WP5283,PDP,PKC,6.1501026
WP5283,PDP,PRKCQ,nan
WP5283,PDP,PRKCZ,nan
WP5283,PDP,PRKCD,nan
WP5283,PDP,PRKCH,nan
WP5283,PDP,PRKCI,nan
WP5283,PDP,PRKCE,nan
WP5283,PDP,PRKCG,nan
WP5283,PDP,PRKD3,nan
WP5283,PDP,PRKCA,nan
WP5283,PDP,PRKCB,nan
WP5283,PDP,Fructose biosynthesis,nan
WP5283,PDP,NADH,nan
WP5283,PDP,ROS,nan
WP5283,PDP,Cytoprotection by HMOX1,nan
WP5283,PDP,"solute carrier family 2, facilitated glucose transporter member 1 (human)",nan
WP5283,PDP,Vitamin C (ascorbate) metabolism,nan
WP5283,PDP,"solute carrier family 2, facilitated glucose transporter member 3 (human)",nan
WP5283,PDP,Metabolism of proteins,nan
WP5283,PDP,NAD,nan
WP5283,PDP,protein DEK (human),nan
WP5283,PDP,TRP channels,nan
WP5283,PDP,Ca2+,nan
WP5283,PDP,protein_coding_gene,7.6837894
WP5283,PDP,Activation of Matrix Metalloproteinases,nan
WP5283,PDP,Collagen degradation,nan
WP5283,PDP,MMP15,nan
WP5283,PDP,MMP23B,nan
WP5283,PDP,MMP21,nan
WP5283,PDP,MMP27,nan
WP5283,PDP,Degradation of the extracellular matrix,nan
WP5283,PDP,MMP16,nan
WP5283,PDP,gemistocytic astrocytoma,14.3898991
WP5283,PDP,Gluten intolerance,nan
WP5283,PDP,gene,nan
WP5283,PDP,MMP2,nan
WP5283,PDP,MMP11,nan
WP5283,PDP,MMP9,nan
WP5283,PDP,MMP14,nan
WP5283,PDP,MMP17,nan
WP5283,PDP,MMP20,nan
WP5283,PDP,oral submucous fibrosis,11.421459
WP5283,PDP,Aortic rupture,nan
WP5283,PDP,metaphyseal anadysplasia,15.0089383
WP5283,PDP,MMP19,nan
WP5283,PDP,"Platelet activation, signaling and aggregation",nan
WP5283,PDP,Effects of PIP2 hydrolysis,nan
WP5283,PDP,Signal Transduction,nan
WP5283,PDP,G alpha (z) signalling events,nan
WP5283,PDP,"Inactivation, recovery and regulation of the phototransduction cascade",nan
WP5283,PDP,protein kinase C theta type (human),nan
WP5283,PDP,VEGFR2 mediated cell proliferation,nan
WP5283,PDP,Bipolar affective disorder,14.3157911
WP5283,PDP,Allodynia,16.9548485
WP5283,PDP,protein kinase C zeta type (human),nan
WP5283,PDP,Signaling by NTRKs,nan
WP5283,PDP,PLC-gamma1 signalling,nan
WP5283,PDP,HuR (ELAVL1) binds and stabilizes mRNA,nan
WP5283,PDP,protein kinase C delta type (human),nan
WP5283,PDP,protein kinase C eta type (human),nan
WP5283,PDP,protein kinase C iota type (human),nan
WP5283,PDP,protein kinase C epsilon type (human),nan
WP5283,PDP,Disinhibition of SNARE formation,nan
WP5283,PDP,protein kinase C gamma type (human),nan
WP5283,PDP,Metabolism,nan
WP5283,PDP,serine/threonine-protein kinase D3 (human),nan
WP5283,PDP,protein kinase C alpha type (human),nan
WP5283,PDP,protein kinase C beta type (human),nan
WP5283,original,http://www.ncbi.nlm.nih.gov/gene/4843,nan
WP5283,original,http://purl.obolibrary.org/obo/CHEBI_16480,11.2411157
WP5283,original,http://purl.obolibrary.org/obo/CHEBI_10545,9.7185091
WP5283,original,http://purl.obolibrary.org/obo/CHEBI_28757,nan
WP5283,original,http://purl.obolibrary.org/obo/CHEBI_84123,nan
WP5283,original,http://purl.obolibrary.org/obo/CHEBI_16474,12.8439746
WP5283,original,http://purl.obolibrary.org/obo/CHEBI_17234,9.7506992
WP5283,original,http://purl.obolibrary.org/obo/GO_0004697,6.1501026
WP5283,original,http://purl.obolibrary.org/obo/CHEBI_15422,11.0997765
WP5283,original,http://purl.obolibrary.org/obo/CHEBI_29103,12.6921686
WP5283,original,http://www.ncbi.nlm.nih.gov/gene/6652,nan
WP5283,original,http://purl.obolibrary.org/obo/CHEBI_61073,11.0359546
WP5283,original,http://purl.obolibrary.org/obo/CHEBI_26523,9.8739806
WP5283,original,http://www.ncbi.nlm.nih.gov/gene/6513,nan
WP5283,original,http://www.ncbi.nlm.nih.gov/gene/6515,nan
WP5283,original,http://purl.obolibrary.org/obo/CHEBI_31882,16.2617013
WP5283,original,http://purl.obolibrary.org/obo/CHEBI_13389,nan
WP5283,original,http://www.ncbi.nlm.nih.gov/gene/7442,nan
WP5283,original,http://purl.obolibrary.org/obo/CHEBI_29108,nan
WP5283,original,http://www.ncbi.nlm.nih.gov/gene/8989,nan
WP5283,original,http://www.ncbi.nlm.nih.gov/gene/4316,nan
WP5283,original,http://www.ncbi.nlm.nih.gov/gene/79148,nan
WP5283,original,http://www.ncbi.nlm.nih.gov/gene/4324,nan
WP5283,original,http://www.ncbi.nlm.nih.gov/gene/4325,nan
WP5283,original,http://www.ncbi.nlm.nih.gov/gene/4314,nan
WP5283,original,http://www.ncbi.nlm.nih.gov/gene/8510,nan
WP5283,original,http://www.ncbi.nlm.nih.gov/gene/9313,nan
WP5283,original,http://www.ncbi.nlm.nih.gov/gene/4312,nan
WP5283,original,http://www.ncbi.nlm.nih.gov/gene/4313,nan
WP5283,original,http://www.ncbi.nlm.nih.gov/gene/4319,nan
WP5283,original,http://www.ncbi.nlm.nih.gov/gene/4320,nan
WP5283,original,http://www.ncbi.nlm.nih.gov/gene/4317,nan
WP5283,original,http://www.ncbi.nlm.nih.gov/gene/4318,nan
WP5283,original,http://www.ncbi.nlm.nih.gov/gene/4322,nan
WP5283,original,http://www.ncbi.nlm.nih.gov/gene/4321,nan
WP5283,original,http://www.ncbi.nlm.nih.gov/gene/10893,nan
WP5283,original,http://www.ncbi.nlm.nih.gov/gene/118856,nan
WP5283,original,http://www.ncbi.nlm.nih.gov/gene/4323,nan
WP5283,original,http://www.ncbi.nlm.nih.gov/gene/64386,nan
WP5283,original,http://www.ncbi.nlm.nih.gov/gene/4327,nan
WP5283,original,http://www.ncbi.nlm.nih.gov/gene/64066,nan
WP5283,original,http://www.ncbi.nlm.nih.gov/gene/4326,nan
WP5283,original,http://www.ncbi.nlm.nih.gov/gene/5588,nan
WP5283,original,http://www.ncbi.nlm.nih.gov/gene/5590,nan
WP5283,original,http://www.ncbi.nlm.nih.gov/gene/5580,nan
WP5283,original,http://www.ncbi.nlm.nih.gov/gene/5583,nan
WP5283,original,http://www.ncbi.nlm.nih.gov/gene/5584,nan
WP5283,original,http://www.ncbi.nlm.nih.gov/gene/5581,nan
WP5283,original,http://www.ncbi.nlm.nih.gov/gene/5582,nan
WP5283,original,http://www.ncbi.nlm.nih.gov/gene/23683,nan
WP5283,original,http://www.ncbi.nlm.nih.gov/gene/5578,nan
WP5283,original,http://www.ncbi.nlm.nih.gov/gene/5579,nan
WP5283,original,http://purl.obolibrary.org/obo/CHEBI_16480,11.2411157
WP5283,original,http://purl.obolibrary.org/obo/PR_O43776,nan
WP5283,original,http://purl.obolibrary.org/obo/CHEBI_26523,9.8739806
WP5283,original,http://purl.obolibrary.org/obo/CHEBI_15422,11.0997765
WP5283,original,http://purl.obolibrary.org/obo/CHEBI_84123,nan
WP5283,original,http://www.ncbi.nlm.nih.gov/gene/177,nan
WP5283,original,http://purl.obolibrary.org/obo/CHEBI_340824,nan
WP5283,original,http://purl.obolibrary.org/obo/CHEBI_25523,12.8117137
WP5283,original,http://purl.obolibrary.org/obo/CHEBI_17234,9.7506992
WP5283,original,http://purl.obolibrary.org/obo/CHEBI_10545,9.7185091
WP5283,original,http://www.ncbi.nlm.nih.gov/gene/5588,nan
WP5283,original,http://www.ncbi.nlm.nih.gov/gene/5590,nan
WP5283,original,http://www.ncbi.nlm.nih.gov/gene/5580,nan
WP5283,original,http://www.ncbi.nlm.nih.gov/gene/5583,nan
WP5283,original,http://www.ncbi.nlm.nih.gov/gene/5584,nan
WP5283,original,http://www.ncbi.nlm.nih.gov/gene/5581,nan
WP5283,original,http://www.ncbi.nlm.nih.gov/gene/5582,nan
WP5283,original,http://www.ncbi.nlm.nih.gov/gene/23683,nan
WP5283,original,http://www.ncbi.nlm.nih.gov/gene/5578,nan
WP5283,original,http://www.ncbi.nlm.nih.gov/gene/5579,nan
WP5283,original,http://purl.obolibrary.org/obo/CHEBI_29103,12.6921686
WP5283,original,http://purl.obolibrary.org/obo/CHEBI_16908,nan
WP5283,original,http://purl.obolibrary.org/obo/CHEBI_61073,11.0359546
WP5283,original,http://www.ncbi.nlm.nih.gov/gene/6515,nan
WP5283,original,http://www.ncbi.nlm.nih.gov/gene/6513,nan
WP5283,original,http://purl.obolibrary.org/obo/CHEBI_29108,nan
WP5283,original,http://purl.obolibrary.org/obo/CHEBI_28757,nan
WP5283,original,http://purl.obolibrary.org/obo/GO_0004697,6.1501026
WP5283,original,http://www.ncbi.nlm.nih.gov/gene/79148,nan
WP5283,original,http://www.ncbi.nlm.nih.gov/gene/4324,nan
WP5283,original,http://www.ncbi.nlm.nih.gov/gene/4325,nan
WP5283,original,http://www.ncbi.nlm.nih.gov/gene/4314,nan
WP5283,original,http://www.ncbi.nlm.nih.gov/gene/8510,nan
WP5283,original,http://www.ncbi.nlm.nih.gov/gene/9313,nan
WP5283,original,http://www.ncbi.nlm.nih.gov/gene/4312,nan
WP5283,original,http://www.ncbi.nlm.nih.gov/gene/4313,nan
WP5283,original,http://www.ncbi.nlm.nih.gov/gene/4319,nan
WP5283,original,http://www.ncbi.nlm.nih.gov/gene/4320,nan
WP5283,original,http://www.ncbi.nlm.nih.gov/gene/4317,nan
WP5283,original,http://www.ncbi.nlm.nih.gov/gene/4318,nan
WP5283,original,http://www.ncbi.nlm.nih.gov/gene/4322,nan
WP5283,original,http://www.ncbi.nlm.nih.gov/gene/4321,nan
WP5283,original,http://www.ncbi.nlm.nih.gov/gene/10893,nan
WP5283,original,http://www.ncbi.nlm.nih.gov/gene/118856,nan
WP5283,original,http://www.ncbi.nlm.nih.gov/gene/4323,nan
WP5283,original,http://www.ncbi.nlm.nih.gov/gene/64386,nan
WP5283,original,http://www.ncbi.nlm.nih.gov/gene/4327,nan
WP5283,original,http://www.ncbi.nlm.nih.gov/gene/64066,nan
WP5283,original,http://www.ncbi.nlm.nih.gov/gene/4326,nan
WP5283,original,http://www.ncbi.nlm.nih.gov/gene/4316,nan
WP4535,CosineSimilarity,KIF5B,nan
WP4535,CosineSimilarity,SYNE4,nan
WP4535,CosineSimilarity,SUN,nan
WP4535,CosineSimilarity,ADCY9,nan
WP4535,CosineSimilarity,ADCY1,nan
WP4535,CosineSimilarity,ADCY10,nan
WP4535,CosineSimilarity,ADCY4,nan
WP4535,CosineSimilarity,ADCY7,nan
WP4535,CosineSimilarity,ADCY3,nan
WP4535,CosineSimilarity,ADCY2,nan
WP4535,CosineSimilarity,ADCY8,nan
WP4535,CosineSimilarity,ADCY5,nan
WP4535,CosineSimilarity,ADCY6,nan
WP4535,CosineSimilarity,LEMD3 (human),nan
WP4535,CosineSimilarity,valproic acid,13.4891126
WP4535,CosineSimilarity,MAP3K9,nan
WP4535,CosineSimilarity,TAZ,nan
WP4535,CosineSimilarity,SRF,nan
WP4535,CosineSimilarity,YY1AP1,nan
WP4535,CosineSimilarity,MAP2K2,nan
WP4535,CosineSimilarity,Smad3,8.3638474
WP4535,CosineSimilarity,Smad2,8.2199666
WP4535,CosineSimilarity,MAPK1,nan
WP4535,CosineSimilarity,MAPK3,nan
WP4535,CosineSimilarity,MAP2K1,nan
WP4535,CosineSimilarity,Smad4,nan
WP4535,CosineSimilarity,TGFB1,nan
WP4535,CosineSimilarity,TGFB2,nan
WP4535,CosineSimilarity,TGFB3,nan
WP4535,CosineSimilarity,Intermediate filament,8.1132556
WP4535,CosineSimilarity,PLEC,nan
WP4535,CosineSimilarity,SYNE3,nan
WP4535,CosineSimilarity,SOS2,nan
WP4535,CosineSimilarity,HRAS,nan
WP4535,CosineSimilarity,NRAS,nan
WP4535,CosineSimilarity,KRAS,nan
WP4535,CosineSimilarity,SOS1,nan
WP4535,CosineSimilarity,F-actin,7.4009184
WP4535,CosineSimilarity,aflatoxin B1,nan
WP4535,CosineSimilarity,cyclophosphamide,13.2912868
WP4535,CosineSimilarity,SYNE2,nan
WP4535,CosineSimilarity,SYNE1,nan
WP4535,CosineSimilarity,RhoA,nan
WP4535,CosineSimilarity,Cofilin-1,10.7852377
WP4535,CosineSimilarity,selenium atom,nan
WP4535,CosineSimilarity,LBR,nan
WP4535,CosineSimilarity,BANF1,nan
WP4535,CosineSimilarity,TMPO,nan
WP4535,CosineSimilarity,EMD,nan
WP4535,CosineSimilarity,TMEM43,nan
WP4535,CosineSimilarity,Grb2,nan
WP4535,CosineSimilarity,protein_coding_gene,7.6837894
WP4535,CosineSimilarity,Integration of energy metabolism,nan
WP4535,CosineSimilarity,Signaling by EGFR,nan
WP4535,CosineSimilarity,G alpha (i) signalling events,nan
WP4535,CosineSimilarity,DAP12 signaling,nan
WP4535,CosineSimilarity,PKA activation,nan
WP4535,CosineSimilarity,Innate Immune System,nan
WP4535,CosineSimilarity,G alpha (s) signalling events,nan
WP4535,CosineSimilarity,Hedgehog 'off' state,nan
WP4535,CosineSimilarity,G alpha (z) signalling events,nan
WP4535,CosineSimilarity,Signaling by GPCR,nan
WP4535,CosineSimilarity,Adenylate cyclase inhibitory pathway,nan
WP4535,CosineSimilarity,Downstream signal transduction,nan
WP4535,CosineSimilarity,gene,nan
WP4535,CosineSimilarity,CaM pathway,nan
WP4535,CosineSimilarity,Vasopressin regulates renal water homeostasis via Aquaporins,nan
WP4535,CosineSimilarity,Signal Transduction,nan
WP4535,CosineSimilarity,Signaling by Hedgehog,nan
WP4535,CosineSimilarity,GABA B receptor activation,nan
WP4535,CosineSimilarity,GABA receptor activation,nan
WP4535,CosineSimilarity,Neuronal System,nan
WP4535,CosineSimilarity,PLC beta mediated events,nan
WP4535,CosineSimilarity,Signaling by NTRKs,nan
WP4535,CosineSimilarity,Transmission across Chemical Synapses,nan
WP4535,CosineSimilarity,PKA-mediated phosphorylation of CREB,nan
WP4535,CosineSimilarity,G-protein mediated events,nan
WP4535,CosineSimilarity,Adenylate cyclase activating pathway,nan
WP4535,CosineSimilarity,ADCY3,nan
WP4535,CosineSimilarity,ADCY5,nan
WP4535,CosineSimilarity,PLC-gamma1 signalling,nan
WP4535,CosineSimilarity,Aquaporin-mediated transport,nan
WP4535,CosineSimilarity,EGFR interacts with phospholipase C-gamma,nan
WP4535,CosineSimilarity,Signaling by PDGF,nan
WP4535,CosineSimilarity,Signaling by NTRK1 (TRKA),nan
