S|P|O
AKT1S1|participates_in|Signaling by Insulin receptor
RPTOR|participates_in|Gene expression (Transcription)
MLST8|participates_in|Gene expression (Transcription)
AKT2|participates_in|Costimulation by the CD28 family
AKT1|participates_in|Costimulation by the CD28 family
AKT2|participates_in|Intrinsic Pathway for Apoptosis
AKT3|participates_in|Intrinsic Pathway for Apoptosis
AKT2|participates_in|CD28 co-stimulation
MTOR|participates_in|CD28 co-stimulation
AKT2|participates_in|Constitutive Signaling by AKT1 E17K in Cancer
AKT1S1|participates_in|Constitutive Signaling by AKT1 E17K in Cancer
AKT2|participates_in|Insulin receptor signalling cascade
MLST8|participates_in|Insulin receptor signalling cascade
AKT2|participates_in|IRS-mediated signalling
RPTOR|participates_in|IRS-mediated signalling
SOCS3|participates_in|Interleukin-6 family signaling
STAT3|participates_in|Interleukin-6 family signaling
SOCS3|participates_in|Cytokine Signaling in Immune system
SOCS3|participates_in|Growth hormone receptor signaling
SOCS1|participates_in|Interferon alpha/beta signaling
SOCS3|participates_in|Interferon alpha/beta signaling
STAT3|participates_in|Signaling by Interleukins
STAT1|participates_in|Interferon alpha/beta signaling
STAT1|participates_in|Downstream signal transduction
AKT1|participates_in|Downstream signal transduction
STAT1|participates_in|Signaling by PDGF
AKT3|participates_in|Signaling by PDGF
STAT1|participates_in|Signaling by SCF-KIT
AKT2|participates_in|Signaling by SCF-KIT
AKT1S1|participates_in|Downstream signal transduction
MTOR|participates_in|Downstream signal transduction
AKT3|participates_in|TP53 Regulates Metabolic Genes
RPTOR|participates_in|TP53 Regulates Metabolic Genes
AKT3|participates_in|DAP12 signaling
MLST8|participates_in|DAP12 signaling
AKT3|participates_in|DAP12 interactions
AKT1S1|participates_in|DAP12 interactions
STAT3|participates_in|Signaling by Leptin
NRAS|participates_in|Signaling by Leptin
STAT3|participates_in|Diseases of signal transduction by growth factor receptors and second messengers
KRAS|participates_in|Diseases of signal transduction by growth factor receptors and second messengers
STAT1|participates_in|Cytokine Signaling in Immune system
IFNGR2|participates_in|Interferon Signaling
IFNGR1|participates_in|Interferon Signaling
IFNGR2|participates_in|Interferon gamma signaling
STAT1|participates_in|Interferon gamma signaling
IFNG|participates_in|Interferon gamma signaling
IFNGR1|participates_in|Interferon gamma signaling
IFNG|participates_in|Regulation of IFNG signaling
IFNGR2|participates_in|Regulation of IFNG signaling
NRAS|participates_in|Signalling to p38 via RIT and RIN
HRAS|participates_in|Signalling to p38 via RIT and RIN
KRAS|participates_in|Signaling by SCF-KIT
HRAS|participates_in|Signaling by SCF-KIT
NRAS|participates_in|Signaling by SCF-KIT
PRLR|participates_in|Prolactin receptor signaling
STAT5A|participates_in|Prolactin receptor signaling
STAT3|participates_in|Signaling by NTRKs
AKT2|participates_in|Signaling by NTRKs
PRL|subClassOf|protein_coding_gene
PRLR|subClassOf|protein_coding_gene
GH1|participates_in|Growth hormone receptor signaling
GHR|participates_in|Growth hormone receptor signaling
STAT5A|causes or contributes to condition|undifferentiated carcinoma
CDK4|causes or contributes to condition|undifferentiated carcinoma
STAT5A|causes or contributes to condition|Neoplasm of the lung
CCND2|causes or contributes to condition|Neoplasm of the lung
STAT5A|causes or contributes to condition|Neoplasm of the breast
CCND1|causes or contributes to condition|Neoplasm of the breast
AKT1|participates_in|PKB-mediated events
MTOR|participates_in|PKB-mediated events
AKT1|participates_in|Constitutive Signaling by AKT1 E17K in Cancer
MLST8|participates_in|Signaling by SCF-KIT
AKT1|participates_in|Generic Transcription Pathway
RPTOR|participates_in|Generic Transcription Pathway
AKT3|participates_in|VEGFR2 mediated vascular permeability
AKT1|participates_in|VEGFR2 mediated vascular permeability
AKT3|causes or contributes to condition|Hemimegalencephaly
MTOR|causes or contributes to condition|Hemimegalencephaly
GHR|participates_in|Prolactin receptor signaling
