S|P|O
PAK3|participates_in|Innate Immune System
MMP8|participates_in|Innate Immune System
PAK6|subClassOf|protein_coding_gene
MMP8|subClassOf|protein_coding_gene
PAK5|subClassOf|protein_coding_gene
PAK2|participates_in|Innate Immune System
MMP8|causes or contributes to condition|Cutaneous melanoma
RAC1|causes or contributes to condition|Cutaneous melanoma
EPHB1|participates_in|EPH-ephrin mediated repulsion of cells
aflatoxin B1|interacts with|EPHB1 (human)
EPHB2|participates_in|Developmental Biology
SORT1|participates_in|Membrane Trafficking
AKT2|participates_in|Membrane Trafficking
AKT1|participates_in|Membrane Trafficking
AKT3|participates_in|Membrane Trafficking
BDNF|causes or contributes to condition|Bipolar affective disorder
AKT2|causes or contributes to condition|Bipolar affective disorder
BDNF|causes or contributes to condition|Focal sensory seizure
AKT1|causes or contributes to condition|Focal sensory seizure
BDNF|subClassOf|gene
AKT3|subClassOf|gene
NGFR|participates_in|Signaling by NTRKs
AKT2|participates_in|Signaling by NTRKs
AKT1|participates_in|Signaling by NTRKs
EPHB3|participates_in|Developmental Biology
AKT3|participates_in|Signaling by NTRKs
PIK3CD|participates_in|Regulation of signaling by CBL
PIK3R3|participates_in|Regulation of signaling by CBL
EPHB1|participates_in|Ephrin signaling
EPHB2|participates_in|Ephrin signaling
AKT1|causes or contributes to condition|Osteosarcoma
JUN|causes or contributes to condition|Osteosarcoma
PAK2|participates_in|CD28 dependent Vav1 pathway
PAK3|participates_in|CD28 dependent Vav1 pathway
PAK2|participates_in|Activation of RAC1
PAK4|participates_in|Activation of RAC1
PAK5|participates_in|Activation of RAC1
PAK6|participates_in|Activation of RAC1
PAK1 (human)|participates_in|CD28 dependent Vav1 pathway
PAK3|participates_in|Activation of RAC1
AKT3|participates_in|Fc epsilon receptor (FCERI) signaling
JUN|participates_in|Fc epsilon receptor (FCERI) signaling
PAK1 (human)|participates_in|Activation of RAC1
RAC1|participates_in|Ephrin signaling
RAC1|participates_in|Nef and signal transduction
PAK2|participates_in|Nef and signal transduction
EPHB1|subClassOf|protein_coding_gene
ARF1|subClassOf|protein_coding_gene
RAC1|participates_in|CD28 dependent Vav1 pathway
RAC1|participates_in|Activation of RAC1
RAC1|participates_in|DSCAM interactions
PAK1 (human)|participates_in|DSCAM interactions
RAC1|participates_in|Cell-Cell communication
CDH11|participates_in|Cell-Cell communication
RAC1|participates_in|EPHB-mediated forward signaling
TIAM1|participates_in|EPHB-mediated forward signaling
RAC1|participates_in|DCC mediated attractive signaling
TRIO (human)|participates_in|DCC mediated attractive signaling
BDNF|causes or contributes to condition|Neurodegeneration
NGFR|causes or contributes to condition|Neurodegeneration
NGFR|subClassOf|protein_coding_gene
AKT2|participates_in|AKT-mediated inactivation of FOXO1A
AKT3|participates_in|AKT-mediated inactivation of FOXO1A
AKT1|participates_in|AKT-mediated inactivation of FOXO1A
tert-butyl hydroperoxide|interacts with|AKT2
tert-butyl hydroperoxide|interacts with|FOS
AKT2|participates_in|Fc epsilon receptor (FCERI) signaling
AKT1|participates_in|Interleukin-4 and Interleukin-13 signaling
FOS|participates_in|Fc epsilon receptor (FCERI) signaling
PIK3CA|participates_in|CD28 dependent PI3K/Akt signaling
PIK3CA|causes or contributes to condition|Hemimegalencephaly
AKT3|causes or contributes to condition|Hemimegalencephaly
PIK3CA|causes or contributes to condition|head and neck carcinoma
PIK3CB|causes or contributes to condition|head and neck carcinoma
PIK3CA|participates_in|Regulation of signaling by CBL
PIK3CA|participates_in|G beta:gamma signalling through PI3Kgamma
PIK3CB|participates_in|G beta:gamma signalling through PI3Kgamma
PIK3CB|participates_in|Regulation of signaling by CBL
PAK1 (human)|causes or contributes to condition|Cutaneous melanoma
MMP9 (human)|participates_in|Interleukin-4 and Interleukin-13 signaling
EPHB3|participates_in|Ephrin signaling
EPHB6|participates_in|Ephrin signaling
EPHB2|causes or contributes to condition|Prostate cancer
NGFR|causes or contributes to condition|Prostate cancer
ARF1|participates_in|Immune System
MMP8|participates_in|Immune System
F2RL2|participates_in|Platelet activation, signaling and aggregation
RAC1|participates_in|Platelet activation, signaling and aggregation
MMP2|participates_in|Interleukin-4 and Interleukin-13 signaling
MMP2|causes or contributes to condition|Aortic rupture
MMP9 (human)|causes or contributes to condition|Aortic rupture
PAK4|subClassOf|protein_coding_gene
